,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,Yield,ID,Source,NN Err
1584,0.0,473.15,19.0,0.0,0.42,0.0,0.0,0.0,12.954545454545455,0.0,0.0,0.0,14.743589743589801,58,Two_step_liquid_hot_water_pretreatment_of_Eucalyptus_grandis.xlsx,7.617290839170856
1585,62.474302496328896,448.15,20.0,0.10195862518989794,0.5,17.474302496328903,45.0,3.333333333333333,18.744318181818183,2822.778988666032,7.945477135661972,254.4038059843272,13.91726083002758,31,kinetic_characterization_of_biomass_dilute_sulfuric_acid_hydrolysis_mixtures_of_hardwoods_softwood_and_switchgrass.xlsx,8.456221286875724
1586,15.0,443.15,20.0,0.0,1.625,14.134837962962965,0.865162037037037,28.896321070234126,18.6,1626.857045357603,7.394405239411388,140.68414963492785,7.847311827956989,23,HemicellulosesFromStonePineHolmOakAndNorwaySpruceWithSubcriticalWaterExtraction.xlsx,1.9561503861540102
1587,121.8767439243922,373.65,8.0,0.2039359641072704,8.0,112.4392439243922,9.4375,8.0,18.863636363636367,116.31608160078069,4.756311326842129,1.973601888848828,82.90151450185104,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6378960326127583
1588,48.7320475778729,448.15,20.0,0.10195862518989794,0.5,3.7320475778728976,45.0,3.333333333333333,17.386363636363637,602.8707291598488,6.401702794241878,54.33390592413745,1.3307307349528334,31,kinetic_characterization_of_biomass_dilute_sulfuric_acid_hydrolysis_mixtures_of_hardwoods_softwood_and_switchgrass.xlsx,1.8682629479084947
1589,41.19267551755173,373.65,8.0,0.2039359641072704,8.0,31.75517551755173,9.4375,8.0,18.863636363636367,32.850074918952515,3.4919540255658426,0.5573861242282,83.16483228216457,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6364814520864428
1590,0.0,423.15,3.7,0.0,2.0,0.0,0.0,16.1,15.48,0.0,0.0,0.0,0.0,21,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,2.8043298721313477
1591,30.0,425.15,20.0,0.40783450075959177,0.42,30.0,0.0,0.0,15.45454545,1019.0449157106699,6.926621110475716,70.51770103093578,59.529411782214524,42,optimization_of_the_pretreatment_of_prosopis_nigra_sawdust_for_the_production_of_fermentable_sugars.xlsx,26.643111716320632
1592,97.0,393.15,5.0,0.1,3.0,67.0,30.0,3.1666666666666665,16.931818181818183,259.9852302784948,5.560624822780796,8.735142777371232,31.30201342281879,7,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,5.7627983349281635
1593,120.0,403.15,8.0,1.2156946175120809,0.5,118.95,1.05,100.0,33.204545454545496,909.233140812446,6.812601541833713,40.22281326236792,24.09308692676246,29,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,14.563826830561759
1594,100.0,403.15,8.0,0.4052315391706937,0.5,98.98256944444445,1.0174305555555554,103.20114667940756,33.20454545454545,756.6055695809861,6.628842073500127,33.4708483143611,34.21218343600274,10,DesignOfProcessParametersForProudctionOfXylose.xlsx,3.111315210905083
1595,28.0,433.15,20.0,0.0,1.625,27.30787037037037,0.6921296296296295,28.896321070234126,18.6,1595.5464569279013,7.374971562767223,123.72677245058465,17.268817204301072,23,HemicellulosesFromStonePineHolmOakAndNorwaySpruceWithSubcriticalWaterExtraction.xlsx,12.381059426133348
1596,0.6633333333,463.15,5.0,0.1631338003038367,0.38,0.33,0.333333,8.25,22.38636363636364,147.38265365882424,4.993032290732626,14.313592205133524,64.7715736040609,46,prehydrolysis_of_hardwoods_with_dilute_sulfuric_acid.xlsx,6.051874577091439
1597,120.0,403.15,8.0,0.4052315391706937,0.5,118.95,1.05,100.0,33.204545454545496,909.233140812446,6.812601541833713,40.22281326236792,33.73032169746745,29,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,4.556551166302079
1598,85.0,413.15,5.0,0.15,3.0,55.0,30.0,3.8333333333333335,16.931818181818183,828.1527284390527,6.719197592012132,46.062398825619056,1.7718120805369124,7,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,72.4508975752248
1599,45.0,475.15,8.0,0.0,8.0,26.62395833333333,18.376041666666666,9.632107023411374,26.363636363636363,26824.36075238356,10.197065736921703,2631.7420279290122,107.98965517241379,33,ManufactureOfFurfuralFromXylan-containing.xlsx,69.51819292265793
1600,2.0333333333000003,443.15,5.0,0.08156690015191835,0.38,1.7,0.333333,7.25,22.38636363636364,195.66244652784007,5.276390962926578,16.920112915765156,50.477157360406075,46,prehydrolysis_of_hardwoods_with_dilute_sulfuric_acid.xlsx,5.104175799994316
1601,50.714285714285715,443.15,15.0,0.0,0.59,30.0,20.714285714285715,7.0,16.03409,3452.866703432473,8.146960093526562,298.59022792526747,45.65273114969418,37,OptimizationofHydrothermalACS.xlsx,10.725454122522613
1602,16.277918290552346,408.15,8.0,0.10196798205363516,8.0,2.5279182905523423,13.75,8.0,18.863636363636367,27.120163990988587,3.3002775099192734,1.3527624181416864,82.85357804919653,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.14605573986597165
1603,330.0,388.15,10.0,1.0195862518989796,0.5,300.0,30.0,3.0,19.77272727272727,829.4241187936694,6.720731627198575,23.843074997073842,62.71264367816094,45,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,0.37904840228203085
1604,20.0,483.15,8.0,8.51e-06,0.509,20.0,0.0,0.0,21.375,34660.617956169204,10.453359392198058,3346.7172615514514,3.5861775651249337,53,SequentialFentonOxidationAndHydrothermalTreatmentToImproveTheEffectOfPretreatment.xlsx,28.254738114806706
1605,68.958996098249,398.15,8.0,0.10196798205363516,8.0,56.458996098248996,12.5,8.0,18.863636363636367,307.4861040498921,5.728429896143818,11.925695813562866,79.62694930001514,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,2.3334694011567336
1606,90.0,433.15,5.66666666666667,0.0,2.0,75.0,15.0,1.3333333333333333,19.318181818181817,4382.106061241333,8.385284723705801,339.81075081791494,53.95983829283526,54,SeverityFactorCoefficientsforSubcriticalLiquidHotWaterPretreatment.xlsx,10.632232091663383
