TotalT,Temp,LSR,CA,Size,Mass,Moisture,IsoT,HeatT,Ramp,F_A,F_Gal,F_Glu,F_X,F_M,F_R,A,Gal,Glu,X,M,R,Furf,HMF,Source,ID,Yield,P,logP,Ro,logRo
82.875,433.15,8.0,0.0,8.0,16.67,0.0,66.0,16.875,8.0,,,,18.863636363636367,,,,,,2.1125,,,,,EffectofEucalytpusGlobulusWoodAutohydrolysis.xlsx,B,8.959036144578311,299.0334607197652,5.700555475891124,3856.2533338923727,8.257451352195917
140.0,423.15,4.0,0.0,5.0,250.0,20.0,90.0,50.0,2.5,0.7,1.3,46.9,17.6,1.2,0.6,,,,1.3,,,,,ExtractionOfXylansFromHardwoodChips.xlsx,C,2.954545454545454,178.84873217625056,5.186540376925362,2669.483211205844,7.889640178804841
110.0,433.15,4.0,0.0,5.0,250.0,20.0,60.0,50.0,2.7,0.7,1.3,46.9,17.6,1.2,0.6,,,,9.3,,,,,ExtractionOfXylansFromHardwoodChips.xlsx,C,21.136363636363637,271.84860065433196,5.6052452960867996,3505.684848993066,8.162141172391593
140.0,433.15,4.0,0.0,5.0,250.0,20.0,90.0,50.0,2.7,0.7,1.3,46.9,17.6,1.2,0.6,,,,10.5,,,,,ExtractionOfXylansFromHardwoodChips.xlsx,C,23.86363636363636,407.7729009814979,6.010710404194964,5258.527273489599,8.567606280499756
170.0,433.15,4.0,0.0,5.0,250.0,20.0,120.0,50.0,2.7,0.7,1.3,46.9,17.6,1.2,0.6,,,,17.9,,,,,ExtractionOfXylansFromHardwoodChips.xlsx,C,40.68181818181817,543.6972013086639,6.298392476646745,7011.369697986132,8.855288352951538
110.0,438.15,4.0,0.0,5.0,250.0,20.0,60.0,50.0,2.8,0.7,1.3,46.9,17.6,1.2,0.6,,,,11.3,,,,,ExtractionOfXylansFromHardwoodChips.xlsx,C,25.681818181818176,404.73099666072693,6.0032226406481755,4920.297244642005,8.50112422323905
140.0,438.15,4.0,0.0,5.0,250.0,20.0,90.0,50.0,2.8,0.7,1.3,46.9,17.6,1.2,0.6,,,,19.7,,,,,ExtractionOfXylansFromHardwoodChips.xlsx,C,44.772727272727266,607.0964949910904,6.40868774875634,7380.4458669630085,8.906589331347215
110.0,443.15,4.0,0.0,5.0,250.0,20.0,60.0,50.0,2.9,0.7,1.3,46.9,17.6,1.2,0.6,,,,17.1,,,,,ExtractionOfXylansFromHardwoodChips.xlsx,C,38.86363636363636,597.1804558505349,6.392219338824319,6905.733406864945,8.840107274086508
140.0,433.15,4.0,0.142742075265857,5.0,250.0,20.0,90.0,50.0,2.7,0.7,1.3,46.9,17.6,1.2,0.6,,,,38.8,,,,,ExtractionOfXylansFromHardwoodChips.xlsx,C,88.18181818181816,407.7729009814979,6.010710404194964,5258.527273489599,8.567606280499756
0.0,423.15,5.0,0.34065,3.0,1666.6666666666665,49.2,0.0,0.0,3.0,0.4,0.7,,34.9,3.2,0.6,0.0,,,0.0,0.0,,,,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,D,0.0,0.0,0.0,0.0,0.0
161.66666666666666,423.15,5.0,0.34065,3.0,1666.6666666666665,49.2,120.0,41.66666666666666,3.0,0.4,0.7,,34.9,3.2,0.6,0.0,,,21.15,5.48,,,,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,D,30.30085959885387,238.46497623500076,5.474222449377143,3559.3109482744585,8.177322251256623
0.0,423.15,5.0,0.34065,3.0,1666.6666666666665,49.2,0.0,0.0,3.0,0.4,0.7,,34.9,3.2,0.6,0.0,,,0.0,0.0,,,,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,D,0.0,0.0,0.0,0.0,0.0
