TotalT,Temp,LSR,CA,Size,Mass,Moisture,IsoT,HeatT,Ramp,F_A,F_Gal,F_Glu,F_X,F_M,F_R,A,Gal,Glu,X,M,R,Furf,HMF,Monomer,Acid,Acetyl,Wood,Source,ID,Yield,P,logP,Ro,logRo
20.0,443.15,8.0,0.75,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,6.459899999999998,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,35.29999999999999,199.06015195017832,5.293607050156209,2301.9111356216486,7.741494985418398
20.0,433.15,6.0,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,19.26624,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,78.96000000000001,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
20.0,433.15,6.0,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,17.450879999999998,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,71.51999999999998,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
20.0,433.15,6.0,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,17.2996,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,70.9,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
20.0,433.15,6.0,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,16.760360000000002,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,68.69000000000001,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
20.0,433.15,6.0,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,18.20972,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,74.63,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
20.0,420.15,6.0,0.18,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,5.521720000000001,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,22.630000000000006,30.801447844507994,3.4275616968132616,484.04261556088693,6.1821729515200925
20.0,446.15,6.0,0.82,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,14.215440000000005,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,58.26000000000002,250.33999277977682,5.522819965058209,2821.107496041127,7.944884815926873
20.0,433.15,6.0,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,3.4892000000000003,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,14.299999999999999,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
20.0,433.15,6.0,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,16.104000000000006,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,66.00000000000001,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
20.0,433.15,3.4,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,15.247129411764707,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,35.410000000000004,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
20.0,433.15,8.6,0.5,0.5,,,20.0,0.0,0.0,,,,14.64,,,,,,14.200800000000005,,,,,0.0,sulfuric,3.1,eucalyptus,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,H,83.42000000000002,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
45.0,403.15,8.0,0.0,2.0,200.0,,30.0,15.0,2.0,,,,19.48,,,,,,1.3039772727272727,,,,,0.046875,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,5.355142803808102,10.144467405389133,2.316928473663042,229.31478961221842,5.435095686746901
50.0,413.15,8.0,0.0,2.0,200.0,,30.0,20.0,2.0,,,,19.48,,,,,,1.3764204545454544,,,,,0.06107954545454545,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,5.652650737352995,25.124944813974032,3.2238611699180826,451.7196700576651,6.113061788441817
55.0,423.15,8.0,0.0,2.0,200.0,,30.0,25.0,2.0,,,,19.48,,,,,,1.5298295454545454,,,,,0.1150568181818182,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,6.282667537801007,59.61624405875019,4.087928088257252,889.8277370686146,6.791027890136731
60.0,433.15,8.0,0.0,2.0,200.0,,30.0,30.0,2.0,,,,19.48,,,,,,5.342329545454545,,,,,0.2940340909090909,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,21.93975172671271,135.92430032716598,4.912098115526854,1752.842424496533,7.468993991831646
62.5,438.15,8.0,0.0,2.0,200.0,,30.0,32.5,2.0,,,,19.48,,,,,,8.53125,,,,,0.6491477272727273,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,35.03593429158111,202.36549833036347,5.31007546008823,2460.1486223210027,7.807977042679104
65.0,443.15,8.0,0.0,2.0,200.0,,30.0,35.0,2.0,,,,19.48,,,,,,9.541193181818183,,,,,0.8622159090909092,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,39.18354489453053,298.59022792526747,5.699072158264373,3452.8667034324726,8.146960093526562
67.5,448.15,8.0,0.0,2.0,200.0,,30.0,37.5,2.0,,,,19.48,,,,,,12.092329545454545,,,,,1.2230113636363635,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,49.660490946425234,436.7621643915808,6.079388800696323,4846.165944407321,8.48594314437402
70.0,453.15,8.0,0.0,2.0,200.0,,30.0,40.0,2.0,,,,19.48,,,,,,16.97159090909091,,,,,3.15625,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,69.69852529400784,633.5333936450638,6.451312711308086,6801.688677233526,8.824926195221478
40.0,433.15,8.0,0.0,2.0,200.0,,10.0,30.0,2.0,,,,19.48,,,,,,3.5738636363636367,,,,,0.13210227272727273,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,14.677058054881465,45.308100109055324,3.8134858268587446,584.280808165511,6.370381703163537
50.0,433.15,8.0,0.0,2.0,200.0,,20.0,30.0,2.0,,,,19.48,,,,,,4.981534090909092,,,,,0.2301136363636364,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,20.45804554788128,90.61620021811065,4.5066330074186896,1168.561616331022,7.063528883723482
60.0,433.15,8.0,0.0,2.0,200.0,,30.0,30.0,2.0,,,,19.48,,,,,,5.342329545454545,,,,,0.2940340909090909,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,21.93975172671271,135.92430032716598,4.912098115526854,1752.842424496533,7.468993991831646
70.0,433.15,8.0,0.0,2.0,200.0,,40.0,30.0,2.0,,,,19.48,,,,,,7.839488636363637,,,,,0.4659090909090909,none,5.64,poplar,release_of_acetic_acid_and_its_effect_on_the_dissolution_of_carbohydrates_in_the_autohydrolysis.xlsx,I,32.19502520067201,181.2324004362213,5.199780187978635,2337.123232662044,7.756676064283427
