,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,Acetyl,acetic,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paperbark,paulownia,pine,poplar,salix,vine,willow,Yield
10,0.2195946161415886,0.6218588843497922,-0.8487567515601688,-0.24224948729465884,1.4334478783410491,-0.1818677617205213,1.805749093570841,-0.35217525689999,1.6828013747336252,-0.011404798390582583,0.8904468981542045,0.005180041792108619,0.5933173248228156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.12647289866458
11,-0.685815927701583,0.7796280101765434,-0.040445002687025396,-0.1933270732771895,-0.680392636492525,-0.6913481954502002,-0.20996494769058263,-0.14039745108788895,-0.059482737223359866,-0.10619512750560893,0.11608594023564954,-0.15476001725858585,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.65834456157013
12,-0.3182730336662361,-0.3247558706107147,-0.17516362749921596,-0.15745063633104536,-0.7934322362162455,-0.1818677617205213,-0.7138934580059385,-0.40293192110289033,-1.1266642126545383,-0.10992657113284714,0.020033096140995025,-0.17144328183431248,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.698972523666605
13,-0.7306382318522351,1.0951662618300457,-0.040445002687025396,-0.1933270732771895,-0.680392636492525,-0.7394123873114907,-0.20996494769058263,-0.12289515308688881,-0.059482737223359866,-0.1143094284617958,-0.12990036348773942,-0.16804650928830736,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.27901508546667
14,1.0323012023437885,-1.5711319646420487,-0.30988225231140654,0.018693999027050035,0.9021617596395626,1.1756690457521048,-0.31757468166417424,-0.23490986029328945,-0.029976503109468887,-0.12133891281993456,-0.6081622338317746,-0.18653016309609124,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.45781236240428
15,-0.23604506562007582,0.3063206326962899,-0.17516362749921596,-0.1770196019380331,-0.7165653084041156,-0.7201867105669745,-0.7138934580059385,-0.40293192110289033,-0.6203372352601837,-0.12091948354593315,-0.5586104693790037,-0.18181811911165663,0.9399857256150105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.895500548713635
16,-0.5828413793846289,-0.4825249964374658,-0.30988225231140654,-0.17701361571423163,0.9021617596395626,-0.5977482168813151,-0.13647537326959325,-0.23490986029328945,-0.029976503109468887,-0.12180836336623821,-0.6714143771982445,-0.18477840423162645,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.00110536452429
17,-0.21487808915862014,-0.7980632480909682,-0.30988225231140654,-0.11177774413380437,0.9021617596395626,-0.1911549932337534,-0.1889679264274428,-0.23490986029328945,-0.029976503109468887,-0.11947838136697514,-0.422120850272443,-0.18364388674519241,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.60991062355454
18,-0.6321093466357415,-1.5711319646420487,-0.30988225231140654,-0.11177774413380437,0.9021617596395626,-0.6091242503092744,-0.31757468166417424,-0.23490986029328945,-0.029976503109468887,-0.12449154338326719,-1.7037725741557308,-0.1875825944516594,-0.9239311384216645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.00855478335852
19,1.0859671223337524,0.3063206326962899,-0.3516450260031856,-0.24224948729465884,0.22392416129723935,-0.11798810312852642,5.58521292093601,-0.3945308180624103,-0.29553261013448123,-0.060840209425640106,0.6452608213235345,-0.0901581269998075,1.4832838738871523,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.49252193629354
