,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,Yield,ID,Source,Lin Err,Rid Err,SVR Err,NN Err
1586,38.57142857142857,463.15,15.0,0.0,0.59,15.0,23.57142857142857,7.0,16.03409,6699.211529946557,8.809745116356448,650.6178275060691,58.93692750882651,37,OptimizationofHydrothermalACS.xlsx,23.19059914681658,23.190599146816574,10.123468219590379,3.71945600557779
1587,335.0,403.15,10.0,0.6117517511393876,0.5,300.0,35.0,3.0,19.77272727272727,2293.147896122184,7.7376807797409475,101.44467405389132,64.73563218390804,45,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,2.5543958964624522,2.5543958964624807,8.636401064539555,1.0103471251739933
1588,97.89856067732799,408.15,8.0,0.10196798205363516,8.0,84.14856067732799,13.75,8.0,18.863636363636367,902.7676146431744,6.80546517217233,45.0303361664955,76.70708438916243,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,22.872028586042454,22.872028586042468,17.624625906489065,5.374511452150713
1589,22.01260830142266,388.15,8.0,0.2039359641072704,8.0,10.762608301422661,11.25,8.0,18.863636363636367,29.755889687763077,3.393027085095549,0.8553789229831668,81.97034831966832,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,27.90785035984171,27.90785035984168,2.056711151222956,1.338855781894182
1590,60.0,463.15,6.0,0.0,0.42,60.0,0.0,0.0,24.88636363636364,26796.846119786227,10.196039477476338,2602.471310024277,53.12342151555436,51,research_on_the_dissolution_of_pentosans_during_eucalyptus_hydrolysate_pretreatment.xlsx,27.43465122601533,27.43465122601525,42.467632684090276,13.715706671804362
1591,60.0,398.15,8.0,0.4052315391706937,0.5,59.03101851851852,0.9689814814814814,103.20114667940756,33.20454545454545,321.4938124434563,5.772978297593423,12.468977825811558,36.13963039014374,10,DesignOfProcessParametersForProudctionOfXylose.xlsx,1.6717515567162664,1.6717515567162309,2.6648306240681094,6.530995441413275
1592,183.24994007185842,373.65,8.0,0.3059039461609055,8.0,173.81244007185842,9.4375,8.0,18.863636363636367,179.80538873263657,5.191875092292727,3.0508614969157244,83.59051517995042,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,15.913334179468123,15.913334179468094,0.49394324459828454,1.7003021672551029
1593,15.0,433.15,10.0,0.13713658804168952,0.5,12.5,2.5,54.0,20.909,730.3510102068888,6.593525254477746,56.63512513631916,32.267042554643496,55,sugar_yields_from_dilute_oxalic_acid_pretreatment_of_maple_wood.xlsx,6.566866618016661,6.566866618016618,3.0273683614779223,6.5924648416308
1594,1.5333333333,463.15,5.0,0.1631338003038367,0.38,1.2,0.333333,8.25,22.38636363636364,535.9369223957244,6.284016472048192,52.049426200485534,61.644670050761405,46,prehydrolysis_of_hardwoods_with_dilute_sulfuric_acid.xlsx,32.6264252636708,32.62642526367085,0.8854633128895344,10.577856499531563
1595,0.358672554406747,423.15,6.0,0.0,5.0,0.358672554406747,55.0,2.272727272727273,21.59090909090909,10.638559581212508,2.3644850970435183,0.7127570180229328,0.39675516402414185,9,degradation_and_redeposition_of_the_chemical_components_of_aspen_wood_during_hot_water_extraction.xlsx,10.43804959371682,10.438049593716656,9.994792057793727,40.47648244583914
1596,30.0,425.15,20.0,0.20391725037979588,0.42,30.0,0.0,0.0,15.45454545,1019.0449157106699,6.926621110475716,70.51770103093578,89.61764708518166,42,optimization_of_the_pretreatment_of_prosopis_nigra_sawdust_for_the_production_of_fermentable_sugars.xlsx,30.836416475692204,30.836416475692232,28.459071059146282,1.9808596706308776
1597,20.0,463.15,19.0,0.0,0.42,20.0,0.0,0.0,12.954545454545455,8932.282039928741,9.097427188808227,867.4904366747589,57.05128205128211,58,Two_step_liquid_hot_water_pretreatment_of_Eucalyptus_grandis.xlsx,9.801048831814548,9.80104883181454,0.856088113448898,3.898095253186405
1598,180.0,443.15,4.0,0.0,10.35,120.0,60.0,2.4166666666666665,20.47,13811.46681372989,9.533254454646453,1194.3609117010699,45.33463605276015,22,HemicelluloseRemovalFromHardwood.xlsx,13.49527879465704,13.495278794657004,3.150216911433283,10.16560681692031
1599,40.0,403.15,8.0,1.2156946175120809,0.5,38.95,1.05,100.0,33.204545454545496,297.7270351798636,5.696177077401504,13.170900181330225,41.44010951403144,29,KineticStuidesOfAcidHyrolysisOfMerantiWood.xlsx,11.132395023141385,11.132395023141363,0.5727755838350745,3.010380052361519
1600,60.0,398.15,8.0,1.6209261566827746,0.5,59.03101851851852,0.9689814814814814,103.20114667940756,33.20454545454545,321.4938124434563,5.772978297593423,12.468977825811558,39.03080082135524,10,DesignOfProcessParametersForProudctionOfXylose.xlsx,23.64673158359828,23.646731583598267,0.9402169306790995,0.23109913068141452
1601,0.0,403.15,8.0,0.4052315391706937,0.5,0.0,0.0,103.20114667940756,33.20454545454545,0.0,0.0,0.0,0.0,10,DesignOfProcessParametersForProudctionOfXylose.xlsx,24.55714231741112,24.55714231741112,0.0003970812631948206,2.363663673400879
1602,14.064796398333554,408.15,8.0,0.10196798205363516,8.0,0.3147963983335572,13.75,8.0,18.863636363636367,3.377217522609585,1.2170521523019342,0.16845668573367958,82.87168997116319,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,41.35408257984834,41.35408257984831,25.385540274692296,0.13285714797743253
1603,80.0,423.15,9.0,0.13254621274686734,0.5,80.0,0.0,0.0,14.64,2372.8739655163063,7.771857143148456,158.97665082333384,71.41826368044345,17,evaluation_of_the_kinetics.xlsx,16.732475198439502,16.73247519843956,19.06141619085745,0.7618815832284298
1604,25.0,403.15,9.0,0.13254621274686734,0.5,25.0,0.0,0.0,14.64,191.09565801018204,5.252774129952948,8.453722837824278,3.0737704918032787,17,evaluation_of_the_kinetics.xlsx,51.4411551176102,51.44115511761019,33.25923729177598,0.6328074619418285
1605,120.0,388.15,10.0,1.2235035022787752,0.5,90.0,30.0,3.0,19.77272727272727,248.8272356381009,5.516758822872638,7.152922499122153,65.24137931034484,45,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,5.844143006488039,5.844143006488068,2.067398657507667,1.6025395886651523
