Unnamed: 0,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,poplar,vine,willow,Yield
1761,5,433.15,20,0.152937938,5,5,0,0,15.4,292.1404041,5.677234523,22.65405005,3.120338646,33.32387924,3.506274234,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79.48051948
1762,300,433.15,4.76,0,5,122.8125,177.1875,0.761904762,21.59,7175.698675,8.878455412,556.4401045,6.321559536,818.5177839,6.707495124,3.695454545,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.80451893
1763,115.5978461,408.15,8,0.407871928,8,101.8478461,13.75,8,18.86363636,1092.650146,6.996361351,54.50173732,3.998232579,69.49133545,4.241202075,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58.86568345
1764,170.446268,433.15,6,0,5,149.352518,21.09375,6.4,15.02,8726.380991,9.074106014,676.6878836,6.517210138,995.4010548,6.903145726,4.269325153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64.63693822
1765,78.13879842,408.15,8,0.203935964,8,64.38879842,13.75,8,18.86363636,690.779753,6.537821036,34.4563141,3.539692264,43.93282489,3.78266176,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.42814602
1766,10.59863546,513.15,40,0,0.425,5.372212693,5.226422764,41.13712375,20.9,71165.63273,11.17276529,5592.093959,8.629109086,11836.28307,9.37892493,3.508,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.45701301
1767,40,400.15,8,1.013078848,0.5,39.01163889,0.988361111,103.2011467,33.20454545,243.3178247,5.494368509,9.960945917,2.298672039,12.08686706,2.492119496,3.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.92197125
1768,109.6279227,425.15,6,0,5,89.78417266,19.84375,6.4,15.02,3049.803489,8.022832438,211.0457815,5.352075084,297.1065543,5.694090843,4.269325153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.66035593
1769,437.1602723,373.65,8,0.203935964,8,427.7227723,9.4375,8,18.86363636,442.4703969,6.092373562,7.507649837,2.015922479,7.615470821,2.030181813,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84.03689968
1770,95,403.15,10,0.407834501,0.5,60,35,3,19.77272727,458.6295792,6.128242867,20.28893481,3.010075654,25.08635811,3.222324197,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68.27586207
1771,38.83655576,425.15,6,0,5,18.99280576,19.84375,6.4,15.02,645.150738,6.469483992,44.64429993,3.798726638,62.8494634,4.140742397,4.269325153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.378557073
1772,12.9010989,440.15,6,0,5,8.901098901,4,35.5,15.1,835.9322946,6.728547623,70.22553823,4.251712037,107.2076721,4.674767814,4.269325153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.325553942
1773,110,403.15,8,0.405231539,0.5,108.9825694,1.017430556,103.2011467,33.20454545,833.0438328,6.725086261,36.85233745,3.606919048,45.56626275,3.819167591,3.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33.97125257
1774,100,473.15,5,0,3,70,30,5.833333333,16.93181818,61583.93124,11.02815626,6049.314834,8.707700294,10839.55464,9.290957189,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31.30201342
1775,19.60018775,408.15,8,0.407871928,8,5.850187746,13.75,8,18.86363636,62.7623336,4.13935511,3.130605191,1.141226338,3.991614693,1.384195834,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81.97553108
1776,555.2,373.35,10,0.713710376,0.5,480,75.2,1,19.77272727,486.5527999,6.187345426,8.155950819,2.098747823,8.255114911,2.110832997,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67.26436782
