TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,none,oxalic,sulfuric,acacia,aspen,beech,birch,eucalyptus,maple,mixed,oak,paulownia,poplar,salix,vine,Yield
67.5,448.15,8,0,2,30,37.5,2,19.48,4846.165944,8.485943144,436.7621644,6.079388801,694.6775003,6.54344771,5.479512195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.022633938
232.2919486,388.15,8,0.407871928,8,221.0419486,11.25,8,18.86363636,611.1250781,6.415301649,17.56773252,2.86606384,19.71541258,2.981400694,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,71.09352521
127,393.15,5,0.1,3,97,30,3.166666667,16.93181818,376.3965274,5.930643182,12.64640074,2.537372648,14.67044707,2.685835067,1.595878788,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12.40268457
90,433.15,4.5,0,4,90,0,0,17.2386,5258.527273,8.56760628,407.772901,6.010710404,599.8298264,6.396645992,3.71375,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.099203647
274.6716418,425.15,6,0,5,270.6716418,4,31.75,15.1,9194.21868,9.126330161,636.2380638,6.455572807,895.6848011,6.797588567,3.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.40885148
16.27791829,408.15,8,0.101967982,8,2.527918291,13.75,8,18.86363636,27.12016399,3.30027751,1.352762418,0.302148737,1.724812302,0.545118234,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.37741372
43.52334235,388.15,8,0.407871928,8,32.27334235,11.25,8,18.86363636,89.22762848,4.491190728,2.564985741,0.941952919,2.878558862,1.057289774,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77.95819516
15.90256213,388.15,8,0.101967982,8,4.652562133,11.25,8,18.86363636,12.86315749,2.554367217,0.369771293,-0.994870592,0.414976354,-0.879533738,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,30.57638927
10.59863546,513.15,40,0,0.425,5.372212693,5.226422764,41.13712375,20.9,71165.63273,11.17276529,5592.093959,8.629109086,11836.28307,9.37892493,3.515384615,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.80731558
267.6472788,373.65,8,0.305903946,8,258.2097788,9.4375,8,18.86363636,267.1126971,5.587670656,4.532254837,1.511219572,4.597344737,1.525478906,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.33567428
